,Unnamed: 0,Date,User,Tweet,English
10,10,2023-02-16 23:30:00+00:00,riiinooo310,"@sankanren 子どもも夫も電車が大好きで、いつか電車旅で旅行をのんびり楽しむことが夢です😊💕
やくもに乗って、鳥取観光をしながらカニ🦀料理を楽しんで夜は星空🌌✨なんて…、最高すぎますね🫶︎✨

ご縁がございましたら、心を込めてご紹介させてください😊🎶
ぜひ応募させて頂きます🍀","@sankanren Both my kids and my husband love trains, and my dream is to enjoy a leisurely train trip someday😊💕
Ride the Yakumo, go sightseeing in Tottori, enjoy crabs🦀 and enjoy the starry sky at night.

If you have a connection, please let me introduce you wholeheartedly 😊🎶
Please apply by all means 🍀"
11,11,2023-02-16 22:54:35+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温11度・最低気温－7度
現在－3度です

ひと足早く、つむぎさんのお部屋をひな祭りバージョンにしました
このひな人形は、住職のご友人のお手製です

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/chXbVuJElp","good morning

#Senryu-ji Temple is cloudy today
Maximum temperature 11 degrees, minimum temperature -7 degrees
it's -3 degrees right now

A little early, I made Tsumugi's room a Hinamatsuri version
This hina doll is handmade by a friend of the chief priest.

#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event https://t.co/chXbVuJElp"
12,12,2023-02-16 10:35:00+00:00,kosunao7,"行程がほぼ決定した❗
東京→京都(夜行バス)
京都→鳥取(スーパーはくと)
鳥取観光(砂の美術館、鳥取砂丘)
鳥取→出雲市(スーパーまつかぜ)
　　　出雲市宿泊
出雲市→出雲大社前
出雲大社前→松江しんじ湖温泉
(一畑電車)
松江→米子(やくも)
米子→境港→米子
米子→岡山(高速バス)
みたいな感じに❗","The itinerary is almost decided.
Tokyo→Kyoto (overnight bus)
Kyoto→Tottori (Super Hakuto)
Tottori Sightseeing (Sand Museum, Tottori Sand Dunes)
Tottori→Izumo City (Super Matsukaze)
Accommodation in Izumo City
Izumo City → In front of Izumo Taisha Shrine
In front of Izumo Taisha Shrine → Matsue Shinjiko Onsen
(Ichibata train)
Matsue→Yonago
Yonago → Sakaiminato → Yonago
Yonago → Okayama (express bus)
Feeling like"
13,13,2023-02-16 05:14:17+00:00,YUAKB,"@ndia_aera これも食べに行こう🤤
こりゃグルメツアーで鳥取観光終わっちゃうな...笑","@ndia_aera Let's go eat this too🤤
This is the end of Tottori sightseeing with a gourmet tour...lol"
14,14,2023-02-15 23:28:17+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温4度・最低気温マイナス5度
現在マイナス1度です

念の為雨具を持ってお出かけください
車道に雪はありません

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント","good morning

#Senryu-ji Temple is cloudy today
Maximum temperature 4°C, minimum temperature -5°C
It's minus 1 degree right now

Please bring rain gear just in case
no snow on the road

#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event"
15,15,2023-02-15 21:40:13+00:00,CiaoNihon,"【#鳥取】米子ひとり旅〜#米子観光！城下町散策おすすめコース〜
 
https://t.co/miLgdGxBYz
 
#ひとり旅 #米子 #米子旅行 #米子観光 #鳥取 #鳥取旅行 #鳥取観光 https://t.co/r1LrAwcWxe","[#Tottori] Traveling alone in Yonago ~ #Sightseeing in Yonago! Castle town walking recommended course ~
 
https://t.co/miLgdGxBYz
 
#Solo trip #Yonago #Yonago trip #Yonago sightseeing #Tottori #Tottori trip #Tottori sightseeing https://t.co/r1LrAwcWxe"
16,16,2023-02-15 11:25:39+00:00,misasakan1,"三朝温泉の雛めぐりが
本日よりスタート🎎
三朝温泉ほっとプラ座にて
クイズラリーに挑戦してみてください😊
#三朝温泉 #日本遺産 #三朝館 #三徳山 #鳥取 #温泉旅館 #温泉旅行 #鳥取旅行 #鳥取観光 #旅 #鳥取グルメ #貸切風呂 #japan #露天風呂付客室 #カニ #ひな祭り #雛めぐり https://t.co/uhOYu2wCzc","Hina Meguri at Misasa Onsen
Start today 🎎
At Misasa Onsen Hot Plaza
Try the quiz rally 😊
#Misasa Onsen #Japan Heritage #Misasakan #Mt. Mitoku #Tottori #Onsen Ryokan #Hot Spring Trip #Tottori Trip #Tottori Sightseeing #Travel #Tottori Gourmet #Private Bath #Japan #Room with Open Air Bath #Crab #Hinamatsuri #Hina Meguri https: //t.co/uhOYu2wCzc"
17,17,2023-02-15 01:29:10+00:00,a_saitoh,"何割のコンビニにすでにおむつが売られているか？
だれかデータ持ってない？
8年前は50％くらいだったような(鳥取)。観光施設近くのコンビニは配備率高かったかな","What percentage of convenience stores already sell diapers?
does anyone have data?
8 years ago it was about 50% (Tottori). Convenience stores near tourist facilities had a high deployment rate"
18,18,2023-02-14 23:29:40+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は雪です
最高気温1度・最低気温マイナス4度
現在マイナス2度です

今はパラパラと降っています

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント","good morning

It's snowing at #senryu-ji today
Maximum temperature 1°C, minimum temperature -4°C
It's minus 2 degrees right now.

It's raining now

#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event"
19,19,2023-02-13 23:16:53+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温2度・最低気温マイナス3度
現在1度です

明日からまた雪の予報です
防寒対策をしてお出かけください

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント","good morning

#Senryu-ji Temple is cloudy today
Maximum temperature 2 degrees, minimum temperature -3 degrees
1 degree now

The forecast is for snow again tomorrow
Please take measures against the cold and go out

#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event"
20,20,2023-02-13 15:38:11+00:00,CiaoNihon,"【#鳥取】境港ひとり旅〜#境港観光！水木しげると妖怪の街〜
 
https://t.co/qopB02T26Y
 
#ゲゲゲの鬼太郎 #ひとり旅 #境港 #境港観光 #水木しげる #水木しげるロード #鳥取 #鳥取旅行 #鳥取観光 https://t.co/2M8p2GNz7m","[#Tottori] Traveling alone in Sakaiminato-#Sightseeing in Sakaiminato! Shigeru Mizuki and the town of youkai
 
https://t.co/qopB02T26Y
 
#GeGeGe no Kitaro #Solo trip #Sakaiminato #Sightseeing in Sakaiminato #Shigeru Mizuki #Shigeru Mizuki Road #Tottori #Tottori trip #Tottori sightseeing https://t.co/2M8p2GNz7m"
21,21,2023-02-13 11:20:15+00:00,shoco_latt,"@1FQAA6kiJpYp2yi 雪降ってない？
寒いだろうけど暖かくして、鳥取観光楽しんでねദി  ᷇ᵕ  ᷆  )♡","@1FQAA6kiJpYp2yi Isn't it snowing?
It might be cold, but stay warm and enjoy sightseeing in Tottoriദി ᷇ᵕ ᷆ )♡"
22,22,2023-02-13 02:20:41+00:00,midoribashibase,"今日はせっかくなので家族ともう1泊して鳥取観光してます✨
望湖楼という旅館に泊まってゆっくりしました😊
娘のサービスショットも載せちゃいます🤣

明日からまたレッスン頑張ります😆 https://t.co/xb59Wiaa8X","Today is a special day, so I'm staying one more night with my family and sightseeing in Tottori✨
I stayed at a ryokan called Bokoro and had a relaxing time😊
I will also post my daughter's service shot 🤣

I'll do my best again tomorrow 😆 https://t.co/xb59Wiaa8X"
23,23,2023-02-13 01:12:41+00:00,iIbI6MUEtb1T4dX,"鳥取に観光したら絶対見たい景色！鳥取砂丘から眺める霊峰大山 https://t.co/o1UgI8baUp 

#鳥取砂丘　#大山　#鳥取観光 　#鳥取県移住　#鳥取空港　#コナン空港 https://t.co/IclCsjMe5R","Scenery you definitely want to see when you go sightseeing in Tottori! Mt. Daisen seen from the Tottori Sand Dunes https://t.co/o1UgI8baUp

#Tottori Sand Dunes #Oyama #Tottori Tourism #Tottori Prefecture Migration #Tottori Airport #Conan Airport https://t.co/IclCsjMe5R"
24,24,2023-02-13 01:02:56+00:00,senryuji_hino,"12月から #泉龍寺 に来てくださっているつむぎさん
実は住職がライトアップしてくれています
つむぎさんは本堂にいらっしゃいますので、新春の法要も節分の法要も皆勤賞です

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/kLzl7pyFWO","Tsumugi-san, who has been visiting #Senryu-ji since December
Actually, the chief priest is lighting it up.
Since Tsumugi-san is in the main hall, both the New Year's memorial service and the Setsubun memorial service are perfect attendance awards.

#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event https://t.co/kLzl7pyFWO"
25,25,2023-02-12 23:14:39+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は雨です
最高気温6度・最低気温4度
現在1度です

本日はTwitter開始から初めてマイナスがない1日です！
現在は降っておりませんが、分厚い雲におおわれております

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント","good morning

It's raining at #senryu-ji today
Maximum temperature 6 degrees, minimum temperature 4 degrees
1 degree now

Today is the first day without minus since Twitter started!
It's not raining now, but it's covered in thick clouds

#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event"
26,26,2023-02-12 12:03:00+00:00,1218ryota_spl,"@happyaura311 企画してくれてありがとうございました！
鳥取観光大使になってください","@happyaura311 Thank you for planning!
Become a Tottori Tourism Ambassador"
27,27,2023-02-12 08:52:40+00:00,misasakan1,"六感治癒とは「観・聴・香・味・触・心」を表し、三朝温泉の優れた泉質の湯に浸かり、飲み、湯煙に身を置くことにより六感を癒す考え方です♨
https://t.co/rjngnoO24M
#三朝温泉 #日本遺産 #三朝館 #三徳山 #鳥取 #温泉旅館 #温泉旅行 #鳥取旅行 #鳥取観光 #旅 #鳥取グルメ #貸切風呂 #japan https://t.co/vG9jSha49r","Healing of the six senses means ""seeing, hearing, smelling, tasting, touching, and feeling"", and it is a way of thinking that heals the six senses by soaking in, drinking, and immersing oneself in the hot spring water of Misasa Onsen's excellent spring quality♨
https://t.co/rjngnoO24M
#Misasa Onsen #Japan Heritage #Misasakan #Mt."
28,28,2023-02-12 00:03:22+00:00,senryuji_hino,"そして金持テラス様のグッズ状況から、本日は朝早くからいらっしゃるかなあと、6:00から本堂の準備をしていた住職。
つむぎさんグッズ在庫わずかです
 #泉龍寺 #鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント","And from the goods situation of Rich Terrace, the chief priest was preparing the main hall from 6:00, thinking that he would come early in the morning.
Tsumugi's goods are in short supply
 #Senryu-ji Temple #Sightseeing in Tottori #Hino Town Hino-gun #Temple #Shrines and Temples #Temple Tour #Station Memo #Station Memo Trip #Tsumugi Event"
29,29,2023-02-12 00:00:34+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は晴れです
最高気温13度・最低気温マイナス2度
現在0度です

久々に温度が2桁まで上がります
絶好の駅メモ日和です！

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/WfcbIrQMMn","good morning

Today's #senryu-ji is sunny
Maximum temperature 13 degrees, minimum temperature minus 2 degrees
it's 0 degrees now

The temperature rises to double digits
It's a perfect day for station memos!

#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event https://t.co/WfcbIrQMMn"
30,30,2023-02-11 10:04:44+00:00,misasakan1,"本日YouTubeにて公開されました📺
三朝温泉の見所も映っていますので是非お楽しみに〜

【初🎉鳥取県✨】MV公開お疲れ様スイートルームに泊まる贅沢旅✈️🦀♨️ https://t.co/nNaIp5Pvl8 
@YouTube
より 

#三朝温泉　#鳥取　#観光　#旅行　#三朝館　#礒部希帆　#重盛さと美","Released on YouTube today 📺
The highlights of Misasa Onsen are also reflected, so please look forward to it ~

[First 🎉 Tottori Prefecture ✨] Thank you for your hard work on the release of the MV A luxurious trip to stay in a suite ✈️🦀♨️ https://t.co/nNaIp5Pvl8
@YouTube
Than 

#Misasa Onsen #Tottori #Sightseeing #Travel #Misasakan #Kiho Isobe #Satomi Shigemori"
31,31,2023-02-11 08:44:18+00:00,wasabinoridc,"時間余って本屋で鳥取観光の本見るかあと思ったら島根と鳥取だけ綺麗に無くて泣いちゃった
売れたのかはたまた....","I thought I'd go to a bookstore to read a Tottori sightseeing book with time to spare, but I cried because only Shimane and Tottori weren't clean.
I wonder if it sold..."
32,32,2023-02-11 05:10:48+00:00,uouo_fish_,鳥取観光大使まってます https://t.co/dxykPiRLK3,Tottori Tourism Ambassador is waiting https://t.co/dxykPiRLK3
33,33,2023-02-11 04:02:37+00:00,H_Sogetsu,"顔面加工しても虚無だった。イケメンになりたいぞー！可愛いが作れるならかっこいいだって作りたい！！！あと首がない短い！
雰囲気はめっちゃいいのにな…ロケーションめっちゃいいのにな…
※撮影地許可済み
#鳥取 #鳥取観光 #若桜町 #若桜神社 #大正ロマン #着物コーデ #書生スタイル https://t.co/nkZhBrzq1e","It was nothing even with face processing. I want to be handsome! If I can make something cute, I want to make something cool! ! ! It's short with no neck!
The atmosphere is really nice...the location is really nice...
*Photographing location permitted
#Tottori #Tottori sightseeing #Wakasa town #Wakasa shrine #Taisho romance #Kimono coordination #Student style https://t.co/nkZhBrzq1e"
34,34,2023-02-10 22:18:50+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温9度・最低気温マイナス1度
現在0度です

昨日の荒れ模様も本日は落ち着いています

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント","good morning

#Senryu-ji Temple is cloudy today
Highest temperature 9°C, lowest temperature -1°C
it's 0 degrees now

Yesterday's stormy weather has calmed down today

#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event"
35,35,2023-02-10 15:47:47+00:00,Az_murimi,"@reiou0106 お仕事いっぱいの週末だと思いますが、無理せずイベント楽しんできて下さい～！
鳥取、観光の時間あんまりないかもですが、鳥取トークもどこかでぜひ聞かせてください！","@reiou0106 I think it's a weekend full of work, but please enjoy the event without overdoing it~!
Tottori may not have much time for sightseeing, but please listen to Tottori talk somewhere!"
36,36,2023-02-10 13:04:58+00:00,mari_gawgaw,"@meshouga_08 めしょうがさん、ありがとうございます💕
人生初の鳥取！観光も温泉もご飯も
もちろんライブも思いっきり楽しみたいと思います🥰🥰","@meshouga_08 Meshoga, thank you💕
Tottori for the first time in my life! Sightseeing, hot springs and rice
Of course, I want to enjoy the live as much as I can 🥰🥰"
37,37,2023-02-10 10:21:40+00:00,jPMk27dxKDy0DU8,"創った落語の出たし
一応落ちまで創ったけど、ちょこっと落ちは思索中
#素人落語
#創作
#創作落語
#落語
#上方落語
#鳥取県
#因幡
#白兎
#兎年
#昔話
#古事記
#米子
#白兎年
#鳥取観光
#砂丘 https://t.co/0wnVJLyNH8","The origin of the rakugo I created
I made it up to the omission for the time being, but I'm still thinking about the omission
#Amateur Rakugo
#Creation
#creative rakugo
#rakugo
#Kamigata rakugo
#Tottori Prefecture
#Inaba
#white rabbit
#year of the rabbit
#old tales
#Kojiki
#Yonago
#year of the white rabbit
#Tottori sightseeing
#Dune https://t.co/0wnVJLyNH8"
38,38,2023-02-10 02:38:00+00:00,senryuji_hino,"本当は中に入れてあげたかったけど溶けてしまったので、
かまくら跡とつむぎさん

 #泉龍寺 #鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント #かまくら https://t.co/klyZHSQSwW","I really wanted to put it inside, but it melted, so
Kamakura ruins and Mr. Tsumugi

 #Senryu-ji Temple #Sightseeing in Tottori #Hino Town Hino-gun #Temple #Shrines and Temples #Temple Tour #Station Memo #Station Memo Trip #Tsumugi Event #Kamakura https://t.co/klyZHSQSwW"
39,39,2023-02-10 01:42:28+00:00,JMHKDJ8955,おっ！ついに東京に大雪警報が！！（ワイ東京都民。鳥取観光中）,Oh! Heavy snow warning finally in Tokyo! ! (Yeah Tokyo resident. Sightseeing in Tottori)
40,40,2023-02-09 22:29:33+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は雪です
最高気温6度・最低気温マイナス1度
現在0度です

現在は牡丹雪が降っています

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/jnIcAsHjL7","good morning

It's snowing at #senryu-ji today
Highest temperature 6°C, lowest temperature -1°C
it's 0 degrees now

Peony snow is falling now

#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event https://t.co/jnIcAsHjL7"
41,41,2023-02-09 10:24:16+00:00,eddyier,いいなぁみんな明日ONAKAMAなの。うちは学科終わらせたで仲良い先生が実技1.2限に調整してくれたで鳥取観光です。砂丘しか知らんけど🎶なんかオススメあったら教えて、鳥取駅から行けるとこなら🙆‍♀️,"It's good everyone tomorrow is ONAKAMA. I've finished my studies, and my good teacher arranged for the 1st and 2nd period of practical skills, so I went sightseeing in Tottori. I only know the sand dunes🎶If you have any recommendations, let me know, if you can go from Tottori Station🙆‍♀️"
42,42,2023-02-09 09:55:29+00:00,awesome_yoshibo,"島根と鳥取
観光地あんまり無いとか嘆いてたけど、実際行ってみると、めちゃくちゃ楽しかったです😆","Shimane and Tottori
I was lamenting that there weren't many tourist spots, but when I actually went there, it was a lot of fun😆"
43,43,2023-02-09 09:34:53+00:00,misasakan1,"開湯850年以上
白狼伝説が残る体を清める古湯♨
浸かってよし、飲んでよし、吸ってよしの
心と身体を癒してくれる三朝（みささ）の湯♨
◇三朝館公式HP▼
https://t.co/rjngnoO24M
#三朝温泉 #日本遺産 #三朝館 #三徳山 #鳥取 #温泉旅館 #温泉旅行 #鳥取旅行 #鳥取観光 #旅 #鳥取グルメ #貸切風呂 https://t.co/mPYfg9sPtI","Over 850 years old
An old hot spring where the legend of the white wolf purifies the body♨
You can soak in it, you can drink it, you can breathe it in
Misasa-no-Yu to heal your mind and body♨
◇Misasakan official website▼
https://t.co/rjngnoO24M
#Misasa Onsen #Japan Heritage #Misasakan #Mt."
44,44,2023-02-09 06:47:13+00:00,nukadokosan,"@sankanren 参加させていただきます♡
素敵なキャンペーンをありがとうございます！
山陰地方はよく旅行に行っています！
先日は初鳥取観光を堪能させていただきました〜☺️！","@sankanren I will participate♡
Thank you for the wonderful campaign!
I often travel to the Sanin region!
The other day, I enjoyed sightseeing in Tottori for the first time~☺️!"
45,45,2023-02-09 04:14:10+00:00,karasuma111,"まるまるアルマジロ先生は鳥取観光大使
アローラサンドも二人で大使だけどせんべいにはおらんかった…

第一弾なのもあり、みなさん鳥取処女なので老舗王道オーソドックスthe鳥取土産から選出しました（コーヒーは趣味）
第二弾以降があれば更に違うやつ選ぶぞ💪","The whole armadillo teacher is Tottori tourism ambassador
Alola Sand is also an ambassador for both of us, but they weren't good at senbei...

Since this is the first installment, everyone is a Tottori virgin, so I chose it from the long-established classic orthodox the Tottori souvenir (coffee is a hobby).
If there is a second version or later, I will choose a different one💪"
46,46,2023-02-09 03:34:00+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は晴れです
最高気温6度・最低気温0度
現在6度です

良いお天気が続き、ついにかまくらも天井が溶けました

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/YjQehU69TY","good morning

Today's #senryu-ji is sunny
Maximum temperature 6 degrees, minimum temperature 0 degrees
6 degrees now

The fine weather continued, and the ceiling of the kamakura finally melted.

#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event https://t.co/YjQehU69TY"
47,47,2023-02-08 14:54:10+00:00,bluesketch18,"ジオゲッサーおつ🌽した！！
3箇所目、見事なゼロゲスでした👏
上裸？おじに鳥取観光と今回も旅行気分で面白ったです！
やりたいこともゲームも沢山でこれからも退屈は来なさそうですね！ #フブキch https://t.co/PNIcIBjqUv","Geogesser 🌽 done! !
The third place was a splendid zero guess 👏
Naked? My uncle went sightseeing in Tottori and this time it was fun because I felt like I was on a trip!
There are so many things I want to do and games that I don't think I'll ever get bored again! # Fubuki ch https://t.co/PNIcIBjqUv"
48,48,2023-02-08 12:24:57+00:00,konan1113,"鳥取観光かな
寒そう！#コナン https://t.co/M0JuAuIFvl","Tottori sightseeing
seems cold! # Conan https://t.co/M0JuAuIFvl"
